Question,Answer,Category,Crop,QueryType
asking about the remedial measures of cutworm infestation in bittergourd crops.,suggested him to apply malathion 5%dust @2 g/plant in case of soil application.also suggested him to keep the crops field weeds free to further arrest the pest infestation.,General,General,General
asking about fertilizer dose of coconut ( 7 years old ),"suggested to apply 1500 g urea, 2500 g ssp and 1750 g mop per plant along with  50 g borax.",General,General,General
asked about koleroga disease of arecanut,suggested to apply bordeaux mixture,General,General,General
asked about control of papaya leaf curl,suggested to apply rogor@1 ml/litre of water,General,General,General
asking about fertilizer dose and spacing of papaya.,"suggested to apply 250 gm urea ,700 gm ssp and 200 gm mop and 5 kg fym.spacing 2mt*2mt.",General,General,General
asking for the fertiliser dose and its method of application of bottle gourd for a land of 1 bigha.,"suggested to apply 8 kg of urea,46 kg of single super,24 kg of potash along with 300 kg of fym as basal dressing for a land of 1 bigha. 4 kg 0f urea to be top dressed at flowering stage and again 4 kg 0f urea to be top dressed at fruit set.",General,General,General
asked about control of beetle in ridge gourd,suggested to apply malathion 50 ec @1 ml/2.5 litres water + molasses @10 gm /litre water,General,General,General
asked about control of khaira disease in rice,suggested to apply znso4 (5 kg) and lime (2.5 kg) in 1000 litres water after 10 days of sowing,General,General,General
asking about age of castration in goat.,suggested to castrat within 1-1and 1/2 months.,General,General,General
asking about some early variety of cauliflower,"early kuwari,pusa deepali",General,General,General
asked for the fertilizer dose of sali rice semi dwarf var,suggested to apply 6kg urea 18 kg ssp and 4kg mop during final land preparation and 6 kg urea during flower initiation,General,General,General
asking about treatment of caugh in goat.,suggested to adminster cflon powder @20gm thrice daily by mixing with gur.,General,General,General
asked about the suitable variety of brinjal for assam condition,"suggested to use following varieties, pusa purple kranti, pusa purple long, pusa purple cluster, borbengena etc",General,General,General
asking about the package of practices for brinjal.,explained about the package of practices for brinjal.,General,General,General
asking for the control measure of fruit rot in coconut.,suggested mr.majumder to apply bordeaux mixture @ 1% i.e 10ltrs. in trench system around the plant to get rid off this disease.,General,General,General
asking about the post flood variety of paddy.,suggested to collect luit or kapili variety of paddy.,General,General,General
asking about kisan credit card.,explained details about kisan credit card and suggested him to approach nearest nationalised bank.,General,General,General
asked about te controlmeasure of cutworm in bottle gourd,suggested to incorporate malathion 5% dust in the soil around the plant,General,General,General
asking about the the remedial measures for browning of leaves tip in cucumber crops.,suggested him to broadcast urea fertilizer@ 15 kg/bigha followed with light watering and loosening oe soil.,General,General,General
asking about the cultivation practice of potato.,explained in details about the cultivation practice of potato.,General,General,General
asking about the control measure of control measure of downy mildew in pumkin.,suggested to apply indofil m 45 @ 2gms/liter at 12 days interval as folliar spray.,General,General,General
asking about treatment of bloat.in cow.,suggested to administer rumen bolus @2bolustwice daily for 3days.,General,General,General
asked about the cultivation practice of bitter gourd,"answered in detail about varieties,seed rate, fertilizer dose etc",General,General,General
asking about the fungal disease of pineapple,spray mancozeb@2gm/lt of water,General,General,General
asking for the fertiser dose of french bean.,"suggested mr.hajam to apply 8kg of urea,33kg of ssp,14kg of mop along with 300kg of fym.this fertiliser dose suggested is for 1 bigha of land.",General,General,General
asking the control measure for bacterial wilt in potato.,"suggested mr.koiri to drench the soil at the base of the plant with 100ppm of streptomycin. also suggested to apply a mixture of 1 gram asafoetida along with 5 gram of turmeric powder in 10 litres of water and to drench the soil 3 times at an interval of 15,30 and 45 days after transplanting.",General,General,General
asking the procedure of seed treatment in potato.,"suggested mr.koiri to cut into pieces longitudinally,the bigger sized tubers having 2-3 eyes in each piece and then to dip the cut pieces in mancozeb @ 5 gram in 1 litre of water for about 10 mins. after that ,the seeds are to be spread thinly and dried under shade for 48 hours or should be covered with moist gunny bags for 2-3 days for suberization.",General,General,General
asking about some variety name of potato,"suggested in details regarding variety like-khufri jyoti,khufri sindhuri,khufri megha",General,General,General
asking about the seed treatment of potato.,suggested to treat the seeds in a 0.1% captaf for 24 hrs. and dry the srreds in shade.,General,General,General
asking about treatment of diarrhoea in cow.,suggested to administer neblon powder @50gm twice daily for 5days.,General,General,General
asking that how to get crop loan from bank,suggested to contact with any nationalized bank and marketing and recovery officer located in his area,General,General,General
asking about the recommended fertilizer dose for cabbage cultivation,"suggested to apply urea@25kg/bigha,ssp@41kg/bigha,mop@13kg/bigha and fym@2 quintle/bigha",General,General,General
asking about the recommended fertilizer dose for cabbage/bigha,"suggested to apply urea@25kg/bigha,ssp@41kg/bigha,mop@13kg/bigha and fym@2 quintle/bigha",General,General,General
asking about the control measure to control late blight disease infestation in potato,suggested to apply dithane m-45@2gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval for 3-4 times,General,General,General
asking for some good varieties of boro rice along with the time of planting which is best suited for his zone.,"suggested the following: boro-1,boro-2,culture-1,krishna,ir-50,cauvery,banglami,bishnuprasad and jyotiprasad. these suggested varieties are best suited for his barak valley zone from where he belongs and all these varieties can be planted in december/january.",General,General,General
asking about the control measure of late blight of potato.,suggested to apply indofil m-45@2.5ml/lit of water or ridomil mz-72@2ml/lit of water.,General,General,General
asking about the fertilizer dose of cauliflower.,"advised to apply recommended fertilizer dose like:urea@23 kilogram/bigha,ssp@50kilogram/bigha,mop@11 kilogram/bigha,compost@2 quintle/bigha,and borax@25 gram",General,General,General
asking the preventive measure against late blight disease of potato.,advised to spray indofil m 45  @ 2.5 gram per lire of water at an interval of 7 days to get rid off this disease.,General,General,General
asking about the control measure of rotting becaouse of excess irrigation,suggested to apply blitox @ 2gm per lit of water followed by a spray of borax and molibdenum,General,General,General
asking about the control measure to control late blight disease of potato,advised  to apply dithane m-45@2.5 gram/litre of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval.,General,General,General
asking for the control measure against leaf blight of coconut tree which is affecting his 5 numbers of coconut trees.,suggested to spray bordeaux mixture @ 1% per plant and to remove the old and affected leaves.,General,General,General
asking about some recommended planting materials of tea,"advised to plant recommended planting materials like:(a)clone-tv1,tv18,tv20,tv21,tv22,tv23,tv24,pl26a and (b)seed-ts450,ts462,ts464,betajan jat.",General,General,General
asking the control measure of bacterial wilt in his potato cultivation.,"suggested to apply streptomycin @ 1 gram per litre of water and to drench the soil around the plant with 1 gram of asafoetida along with 5 gram of turmeric powder by mixing in 10 litres of water.also advised that whenever he goes for his next cultivation of potato, to apply 12 gram of bleaching powder per hectare during final land preparation.",General,General,General
asking about the control measure to control late blight disease infestation in potato cultivation.,suggested to apply dithane m-45@2.5 gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval,General,General,General
asking about treatment of babesiosis of cow.,"suggested to administer berenil inj @1.6gram per 100kg body weight in 5ml distilled water  per 0.8gram of granule,by deep intramuscular route.repeat the dose after 1week.",General,General,General
asking about the method to ripen the tomato fruit before normal harvest,suggested to spray ethrel@500 ppm on the fruit about one month before normal harvest,General,General,General
asking the control measure against aphids and epilachna beetle which are destroying his potato cultivation.,suggested to apply malathion 50 ec @ 1.5 litre in 500-600 litres of water to get control on these types of pests.,General,General,General
asking about the fertilizer dose of beeter gourd.,"suggested to apply 11 kg urea, 29 kg ssp, 3kg mop and 2 quintol compost. urea is suggested to apply in 3 splt doses: one at the time of land preperation, 2nd in 30 days and the rest in 60 days.",General,General,General
asking about the recommended fertilizer dose of wheat.,"suggested that the recommended fertilizer dose for wheat is-urea@12kilogram/bigha,ssp@18kilogram/bigha,mop@4kilogram/bigha.",General,General,General
asking about the control measure to control fruit rot disease of chilli,suggested to apply bavistin@2gram/liter of water at 7-10 days interval.,General,General,General
asking about the control measure to control fruit borer infestation in mango fruit.,suggested to spray dimecron 100 ec@2ml/liter of water followed by waiting period of 10-12 days.,General,General,General
asking about the recommended fertilizer dose for  bitter gourd.,"suggested to apply urea@11kilogram/bigha,ssp@29 kilogram/bigha,mop@3 kilogram/bigha and fym@2 quintal/bigha.",General,General,General
asking the control measure against late blight of potato.,suggested to spray indofil m 45 @ 2.5 gram per litre of water and ridomil mz 72 @ 2 gram per litre of water alternatively at an interval of 10-12 days. also suggested that while spraying care should be taken so that the lower part of the leaves  also gets wettened.,General,General,General
asking about the control measure to control fruit drop problem in coconut.,"suggested to apply recommended fertilizer dose like-urea@1,5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@25 gram/plant.fertilizer should be applied in two equal split doses twice in a year in trench method.",General,General,General
asking about the control measure to control wilting problem of tomato.,suggested to applly agromycin@200 milligram/liter of water or  spray solution of 1gram asafoetida + 5 gram turmeric mixture/10 liters of water.,General,General,General
asking about the control measure to control fruit drop problem of coconut.,"suggested to apply recommended fertilizer dose like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@25 gram/plant and also to apply planofix@1tsf/20 liters of water.fertilizer should be apply in two equal split doses twice in a year to a trench of 30 cm width and 10 cm depth at a radius of 1-1.75m away from the main trunk.",General,General,General
asking about the seed rate/bigha of cucumber.,suggested that seed rate of cucumber/bigha is 330 gram.,General,General,General
asking about the market price/quintal for  tomato in his district.,suggested that the market price for tomato up to 29/01/10 is-600rs/quintal(min) and 800 rs/quintal(max).,General,General,General
asking about the control measure to control late blight disease infestation in potato.,suggested to apply dithane m-45@2.5 gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval.,General,General,General
asking about the control measure to control bacterial wilt disease of tomato.,suggested to apply streptomycin sulphate@200mg/liter of water.,General,General,General
asking the control measure against black spot disease in cabbage.,suggested to spray streptomycin @ 2 gram per litre of water to get control on this disease.,General,General,General
asking about the measurement required in preparation of vermicompost in tank.,"suggested that tanks with dimension of 1.5 meter width,4.5 meter length and 0.9 meter height is preferred.",General,General,General
asking about treatment of white diarrhoea of poultry.,suggested him to separate the diseased bird.suggested him to administer tetracycline powder @5gm with 5ltr of water with feed 2 times in a day.,General,General,General
asking about the control measure to control fruit borer pest infestation in tomato.,"suggested to spray  neem based pesticide like-neem gold,achok@1.5 ml/liter of water.",General,General,General
asking about treatment of diarrhoea in cow.,suggested to administer neblon powder @ 50 gm twice daily for five days.along with that administer steclin bolus @ 2 bolus twice daily for five days.,General,General,General
asking about treatment of wound in a cow.,suggested to clean the wound with betadine and then spray skin heal spray on the affected area twice daily.,General,General,General
"asking informations about central institute of post harvest engineering and technology, ludhiana, punjab.","answered that dr. r.t.patil is the director of ciphet, ludiana, punjab and the institute has divisons of agriculture structures and environmental control, food grains and oil seeds processing,transfer of technology and horticulture crop processing. the contact numbers provided are :0161-2308669 & 2307196 along with 09216338421. also advised mr. singha to search google for other informations in details.",General,General,General
asking about treatment of white diarrhoea of poultry.,suggested him to administer hostacycline powder @5gm in 5 ltr of water.,General,General,General
asking about treatment of bloat of a goat.,suggested him to administer afanil 100ml@50ml orally and rest b50ml after 6hours.along with that administer steclin 500mg bolus @1/2 bolus twice daily.administer bovirum bolus @1/2 bolus twice daily.,General,General,General
asking about the preventive measure against fruit borer of mango,"suggested to follow clean cultivation, brush the trunk with lime, spray the field with .1% malathion 35ec.",General,General,General
asking about the control measure to control fruit rot disease of chiili.,suggested to apply dithane m-45@2.5 gram/liter of water.,General,General,General
telling that he wants to cultivate cucumber in a land of 2 bigha and for the same asking the process of cutivation practices.,"suggested to select mar-apr  with an seed rate of 330 gram per bigha. the planting distance suggested is 1.5 x 1.2 metre . fertilizers suggested is 14, 37,17 and 300 kilogram of urea, super, potash and farm yard manure respectively. also suggested to treat per kilogram of seeds with 5 gram of captaf to prevent root rot before sowing. the preventive measures has also been elaborated in details and wished him success for a bulk produce more than his expectation.",General,General,General
asking about financial assitstance for dairy farming.,suggested to contact with nearest sbi branch for loans& finances.,General,General,General
asking about the variety of rajma.,suggested that the variety is-uday.,General,General,General
asking for the preservation method of potato tubers to be sown after 7-8 months.,"suggested mr. borbhuyan to dip the selected tubers (to be sown) in a solution of 30 gram boric acid and 1 litre of water for 30 minutes. after that the tubers are to be thinly spread in shade. also suggested to examine the tuber seeds and to separate and throw away the rotten ones and whenever such cases are observed, advised to spary malathion 5 percent dust powder with the help of a sprayer for which 200 gram of malathion 5 percent dust powder is sufficient for 1 quintal of potato tubers.",General,General,General
asking about the age of castration in goat,the age of castration is 2-3 months in goat.,General,General,General
asking that how to increase the production of coconut.,"suggested to apply recommended fertlizer dose like-urea@1.5kilogram/plant,ssp@2.5kilogram/plant,mop@1.75kilogram/plant,borax@25gram/plant.fertlizer should be applied in two equal split doses twice in a year to a trench of 30cm breadth,15cm depth at a radius of 1-1.75 meter away from the trunk.",General,General,General
asked about the fertilizer dose of okra.,"suggested to apply 14 kg urea, 41 kg ssp, 11kg mop and 2 q fym per bigha.",General,General,General
asking about the control measure to control fruit rot problem of cucumber.,suggested to apply dithane m-45@2.5gram/liter of water.,General,General,General
asking about treatment of wound in calf.,suggested to clean the wound with normal saline and then spray topicure spray on the affected area twice daily.,General,General,General
asked about the fertilizer dose of bhendi.,"suggested to apply 14 kg urea, 41 kg ssp, 11 kg mop and 200 kg fym per bigha.",General,General,General
asked about the information regarding the training of mashroom cultivation.,"suggested to contact sird, khanapara, assam at phone no 0361 2335154, 2331663",General,General,General
asking about source of good breed ducklings for duck farming.,"suggested to contact with s.i.r.d. khanapara,guwahati-22 for good breed ducklings.",General,General,General
asking about the control measure to control cut worm infestation in cucumber.,suggested to spray neem based pesticide like-neem gold/neemax@5ml/liter of water.,General,General,General
asking about the fertilizer dose of bitter gourd.,"suggested mr das to apply urea-11 kg,super-29 kg,potash- 3 kg and compost-2 quintal/bigha as the recomended dose of fertilizers for bitter gourd.",General,General,General
asking about treatment of maggoted wound in cow.,suggested to clean the area and spray topicure spray on the affected area twice daily.,General,General,General
asking about treatment of anoestrus in cow.,suggested to administer prajana capsule @3 capsule on first day and 3 capsule on second day and repeat the same dose on eleventh day and twelve day.along with that inject tonophosfen inj @10 ml at alternate day for five times.,General,General,General
asking about treatment of worm infestation of a cow.,suggested him to administer panacur 1.5gm bolus @1 bolus.repeat the same dose after 15 days.,General,General,General
asking about some hybrid variety of maize.,"suggested to grow hybrid variety like-ganga-5,hi-starch.",General,General,General
asking about the control measure to control fruit borer pest in ridge gourd.,suggested to spray neem based pesticide like-achook/neem gold@5ml/liter of water.,General,General,General
asking about treatment of diarrhoea in buffalo.,suggested to administer neblon powder @50 gm twice daily for five days.change the feed for 10 days and observe.,General,General,General
asking about treatment of anoestrus in cow.,suggested to administer prajana capsule @3 capsule for two consecutive days and repeat the same dose on 10th and 11th day.along with that administer cofecu tab @1 tab daily.,General,General,General
asking about treatment of wound in cow.,suggested to keep the wound clean and then spray scavon spray on the affected area twice daily.,General,General,General
asking what control measure should be taken to control flower drop in coocnut plant.,"suggested to apply recommended fertilizer dose like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@25 gram/plant and also advised to spray planofix@1tsf/15 liters of water at the time of flowering.fertilizer should be applied in two equal split doses twice in a year in trench method.",General,General,General
asking about the control measure to control stored grain pest infestation in store house of paddy.,suggested to spray 5% malathion dust.,General,General,General
"telling that his chilli fruits are suffering from rotting problem,what is the reamedy measure.",suggested to apply mancozeb@2.5 gram/liter of water.,General,General,General
asking about the controlling measure for ganderma disease of coconut.,suggested mr paul to spray captan @2ml/litre of water and to apply 7kg neemcake and 1.5-2.0kg sulphur /tree.,General,General,General
asking about the proper spacing for brinjal cultivation.,suggested that spacing is-74cm.(row to row)x 60cm. (plant to plant).,General,General,General
asking about the sowing season of black gram,mid august to mid september is the best sowing time for black gram,General,General,General
asking about treatment after deworming of a cow.,suggested him to administer feroliv @1cup twice daily.,General,General,General
asking about treatment of diarrhoea in cow.,suggested to administer neblon powder @50 gm twice daily for five days.along with administer steclin bolus @2 bolus twice daily for five days.,General,General,General
asking about some early variety of knolkhol.,"given in details regarding early variety like-white vienna,priya etc.",General,General,General
asking about the control measure to control rice caseworm infestation in sali rice cultivation,suggested first to drain-off the excess water from the field to kill the floating larvae and to spray ekalux 25ec@2ml/liter of water.,General,General,General
asking about the control measure to control fruit rot problem in cow pea.,suggested to apply dithane m-45@2.5gram/liter of water.,General,General,General
asking about the control measure to control powdery mildew disease in okra.,suggested to apply sulfex@1 teaspoonful/liter of water.,General,General,General
the farmer has got 1kg rice seed from gram panchayat officila in free of cost. he is asking about the variety of the said seed.,suggested to conferm the variety from concern agricultural development officer or village level extension worker of state department of agriculture.,General,General,General
asking about sowing time for early variety cauliflower.,suggested that early sowing time is-mid july to first week of august.,General,General,General
asking about the control measure to control brinjal fruit borer pest in brinjal cultivation.,suggested to spray azadirachtin product like-neem gold/neemax-m@2ml/liter of water.,General,General,General
asking about the control measure to control leaf curling problem in chilli.,suggested to spray rogor 40ec@2.5ml/liter of water at 15 days interval.,General,General,General
asking about treatment of mastitis of a cow.,suggested him to administer m-ceft inj i/mly.along with that administer ketop inj @3ml i/mly for 5 days.,General,General,General
asking about vaccination schedule of broiler  chicks.,"0-5days=f1ranikhet,10-15days=i.b.d.vaccine,20-21days=booster dose ranikhet.",General,General,General
asking for the control measure to control leaf eating caterpillar in lemon.,advised to spray 3 numbers of sprays of dimacron @ 4 milli litre per litre of water at an interval of 7 days.,General,General,General
asking about financial assistance for dairy farming.,suggested to contact with nearest s.b.i.branch for loans &finances.,General,General,General
asking about treatment of caugh of a goat.,"suggested him to administer caflon powder @10gm twice daily for 5 days,",General,General,General
asking about the control measure for fruit borer of bottle gourd.,suggested mr ghosh to spray malathion 50 ec @2ml/litre of water as the controlling measure for fruit borer of bottle gourd.,General,General,General
asking about some variety name of chilli.,"suggested to grow variety like-np-46,pusa jwala,suryamukhi,tejaswinee.",General,General,General
asked about the control measure of fruit and stem borer of okra.,suggested to spray the crop with malathion 50 ec @ 2 ml per lit of water.,General,General,General
asking for the control measure to control rice case worm which is affecting his paddy cultivation very badly.,suggested to spray chlorpyriphos 20 ec @ 2 milli litre per litre of water.,General,General,General
asking about some early cabbage varieties.,"suggested to grow early variety like-golden acre,pride of india,pusa mukta etc.",General,General,General
asking about the control measure to control anthracnose disease in chilli.,suggested to apply mancozeb@2.5gram/liter of water.,General,General,General
asked about the control measure of root rot of bottle gourd.,suggested to follow pre sowing seed treatment with captan 50 wp @ 5 gm per kg of seed.,General,General,General
asking about some early variety name of cabbage.,"suggested to grow early variety like-golden acre,pusa mukta,pride of india.",General,General,General
asking about the planting time of betel vine,april to august,General,General,General
asking about the fertilizer management of potato.,"suggested mr koiri to apply urea-19 kg,super-45kg,potash-12 kg and compost 2 quintal as per bigha.",General,General,General
asking about treatment of wound in cow.,suggested to clean the wound with normal saline and then spray topicure spray over the affected area.,General,General,General
asking about some early cabbage variety.,"suggested in details regarding early cabbage variety like-golden acre,pride of india,pusa mukta etc.",General,General,General
asking about bloat of a calf.,suggested him to administer floaratone bolus @1 bolus daily for3 days.,General,General,General
asking about the control measure of fruit and shoot borer,suggested to spay malathion 50 ec @ 1.5 ml/liter water.,General,General,General
asking for the control measure against fruit borers in cucumber.,advised to spray malathion 50ec @ 2 milli litre per litre of water followed by a waiting period of 10 days.,General,General,General
asking about treatment of diarrhoea in cow.,suggested to administer neblon powder @50 gm twice daily for five days.along with that administer tetracycline bolus @2 bolus twice daily for five days.,General,General,General
asking that is there are any govt. schemes or subsidy if he goes for purchasing of knap sack sprayer.,advised mr. guwala to coordinate with the district agriculture officer of his district.,General,General,General
details about fungicides,describe him in details,General,General,General
asking about some variety name of cabbage.,"suggested in details about the early variety like-golden acre,pride of india,pusa mukta etc.",General,General,General
asking about the control measure to control fruit rot problem in cucumber,suggested to spray dithane m-45@2gram/liter of water followed by waiting period for 5-7 days.,General,General,General
asking about treatment of diarrhoea in cow.,suggested to administer neblon powder @50 gm twice daily for five days.along with that administer tetracycline bolus @2 bolus twice daily.,General,General,General
telling that he has been asked for bribe by agricultural development officer and the vlew of his locality when he approached them for sanctioning of kisan credit card loan.,"advised mr. barman to lodge a complain against them in written to the concerned district agricultural officer, department of agriculture, govt. of assam. the farmer also suggested to approach nearest nationalised bank for kisan credit card loan.",General,General,General
asking about treatment of bloat of a cow.,suggested him to administer floaratone bolus @2bolus twice daily for 3 days.,General,General,General
asking about the control measure of shoot and fruit borer,suggested to apply trichoderma card as biological control agent or spray malathion 50 ec @ 1.5ml/liter water.,General,General,General
asking about treatment of diarrhoea in cow.,suggested to administer neblon powder @50 gm twice daily for five days.,General,General,General
asking about poultry farming.,"suggested him how to establish a poultry farming-chick selection,housing,vaccination,treatment,marketing etc.",General,General,General
asking about treatment of white diarrhoea of a poultry.,suggested him to administer tetracycline powder @4gm in 4 ltr of water 2-3 times daily.,General,General,General
asking for the control measure against fruit borers in brinjal.,suggested to spray decis 2.4ec @ 1 milli litre per litre of water.,General,General,General
asking about some varity name of tomato.,"suggested to grow variety like-punjam chhuhara,pusa early dwarf,pusa rubi,arka alok.",General,General,General
asking about the controlling measure for rice hispa.,suggested mr gokh to spray monocrotophos 40ec@4ml/litre of water for controlling rice hispa.,General,General,General
asking about the control measure to control rice case worm pest in paddy field.,suggested to spray tricel 20ec@2mililiter/liter of water.,General,General,General
asking the fertilizer dose of knol khol to be cultivated in a land of 1 bigha along with the planting distance.,"23, 41, 13 and 200 kilo grams of urea, ssp, mop and farm yard manure respectively have been suggested for 1 bigha of land for knol khol cultivation. planting distance suggested is 30 centimetre from row to row and 25 centimetre from plant to plant.",General,General,General
asking about the controlling measure for fruit borer of brinjal.,suggested to spray malathion 50 ec@2ml/litre of water for controlling fruit borer of brinjal.,General,General,General
asking about some variety name of chilli.,"suggested to grow variety like-pusa jwala,suryamukhi,tejaswini,hyb-1,hyb-2,hyb-3",General,General,General
asking about the age of castration in goat.,the proper age for castration in case goat is 2-3 month of age.,General,General,General
asking about the controlling measure for fruit borer of brinjal.,suggested mr laskar to spray malathion 50ec@2ml/litre of water for controlling fruit borer of brinjal.,General,General,General
asking about the control measure to control termite infestation in root portion of brinjal.,suggested to apply furadon 3g@10gram/plant near the base around the root.,General,General,General
asking for the control meausure against aphids in black gram cultivation.,rogor 40ec solution @ 75 milli litre in 60 litres of water for per bigha of land has been suggested to be sparyed for such pests.,General,General,General
asking about treatment of eye infection in cow.,suggested to give ciplx eye drop @5 drops twice daily for five days.,General,General,General
asking about the control measure to control leaf curl disease in chilli.,suggested to spray rogor 40ec@2mililiter/liter of water followed by waiting period for 5-7 days.,General,General,General
asking about the varieties of chilli.,"suggested mr kairi to cultivate np-46,pusa jwala,suryamukhi,krisna and other local varieties to  cultivate as the varieties of chilli.",General,General,General
asking about the source of paddy harvester in subsidized rate.,"suggseted to contact ado, dept. of agriculture, govt. of assam",General,General,General
asking about the control measure to control aphid infestation in brinjal.,suggested to apply furadon@10gram/plant in ring method near the root portion.,General,General,General
asking about some local variety name of potato.,"suggested to grow local variety like-rongpuriya,lalpahari,badami.",General,General,General
asking for the control measure against aphids in spinach.,advised to spray profex @ 1.5 milli litre per litre of water and waiting period suggested is 10 days.,General,General,General
asking about treatment of white diarrhoea of poultry.,suggested him to administer tetracycline powder @4gm in 4 ltr of water 2-3 times daily.,General,General,General
asking about treatment of diarhoea in cow.,suggested to administer 3d care bolus @2 bolus twice daily for five days.,General,General,General
asking about winter management of broiler farming.,explain in details about winter management of broiler farming.,General,General,General
asking about how to increase milk of a cow.,suggested him to administer intacal 100ml daily.along with that administer agrimin forte @40gm twice daily.,General,General,General
asking about treatment of bloat in cow.,suggested to administer afanil 100 ml at a time and repeat the same dose after 6 hours.,General,General,General
asking for the control measure against brinjal fruit & shoot borers.,decis 2.4ec solution @ 1 milli litre in 1 litre of water has been suggested to spray.,General,General,General
asking about the control measure of fruit borer of brinjal.,suggested mr mahsir to spray malathion 50ec@2ml/litre of water for controlling fruit borer of brinjal.,General,General,General
asking about treatment of humpsore in cow.,suggested to apply himax ont.over the affected area twice daily.,General,General,General
asking about the recommended fertilizer dose for cabbage,"suggested about the recommended fertilizer dose like-urea@25 kilogram/bigha,ssp@41 kilogram/bigha,mop@13 kilogram/bigha,fym@2 quintal/bigha. half dose of urea and full doses of ssp and mop,fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting",General,General,General
asking about some variety name of cauliflower,"suggested to grow variety like-improved japanese,pusa synthetic,pusa deepali,pusa katki,pusa snow ball,himani etc",General,General,General
asking about broiler farming.,"describe him where broiler chicks are available,how to establish a broiler farm-including housing,vaccination,treatment,management,marketing etc.",General,General,General
asking about the production technology for mushroom.,given in details regarding the production technology.,General,General,General
